Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Pred_Loan_Status,Target_Loan_Status,Pred_True_Pos,Pred_True_Neg,Pred_False_Pos,Pred_False_Neg,Scatterplot_X,Scatterplot_Y
LP002139,Male,Yes,0,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.281532,5.360031
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.625398,4.7233844
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y,Y,True,False,False,False,8.428297,-0.2152897
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,Y,Y,True,False,False,False,10.232842,-3.7319462
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.250168,5.5331874
LP002877,Male,Yes,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,Y,Y,True,False,False,False,8.978566,0.5087905
LP002035,Male,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,3.6229262,0.14833769
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.455564,16.180101
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,Y,N,False,False,True,False,7.1106977,-0.3276789
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,Y,N,False,False,True,False,9.483975,1.4946613
LP001732,Male,Yes,2,Graduate,,5000,0.0,72.0,360.0,0.0,Semiurban,Y,N,False,False,True,False,3.636424,0.19530867
LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153.0,360.0,1.0,Rural,Y,Y,True,False,False,False,11.824527,-6.101728
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y,Y,True,False,False,False,5.17407,0.4433775
LP002054,Male,Yes,2,Not Graduate,No,3601,1590.0,128.0,360.0,1.0,Rural,Y,Y,True,False,False,False,7.63403,-0.26675516
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y,Y,True,False,False,False,5.1719775,2.834788
LP002178,Male,Yes,0,Graduate,No,3013,3033.0,95.0,300.0,1.0,Urban,Y,Y,True,False,False,False,9.493936,16.145895
LP001699,Male,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.600547,16.17873
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.609459,4.7679663
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,0.7743193,-1.0441396
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.597342,4.7378454
LP002401,Male,Yes,0,Graduate,No,2213,1125.0,128.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.055383,16.235455
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,3.6319783,0.16652544
LP001760,Male,,,Graduate,No,4758,0.0,158.0,480.0,1.0,Semiurban,Y,Y,True,False,False,False,-9.607328,4.518219
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,Y,Y,True,False,False,False,0.79294795,-1.0096648
LP002634,Female,No,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban,Y,Y,True,False,False,False,9.0799055,2.207018
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y,Y,True,False,False,False,10.863831,-5.7499285
LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural,N,Y,False,False,False,True,6.7145195,0.18662019
LP001702,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,Y,N,False,False,True,False,-9.221058,5.5155363
LP002144,Female,No,,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban,N,Y,False,False,False,True,8.585197,13.607136
LP002979,Male,Yes,3+,Graduate,No,4106,0.0,40.0,180.0,1.0,Rural,Y,Y,True,False,False,False,9.576104,-4.785015
